County,Place,TestLocationInHome,NoOfHomesTested,AverageRadon_pCiL,GEOMean,GEOSD,HighestRadon,NoOfHomesBelow4pCiL,NoOfHomesRange4To20pCiL,NoOfHomesAbove20pCiL
FULTON,EPHRATAH,Basement,7,5.66,2.29,3.31,30.1,6,0,1
FULTON,EPHRATAH,1st Floor,1,10.9,10.9,1,10.9,0,1,0
FULTON,GLOVERSVILLE,Basement,44,1.8,1.26,2.22,10.8,41,3,0
FULTON,GLOVERSVILLE,1st Floor,13,0.51,0.33,2.69,1.7,13,0,0
FULTON,JOHNSTOWN,Basement,54,3.35,1.67,3.26,24,42,10,2
FULTON,JOHNSTOWN,1st Floor,16,1.31,0.83,2.65,7,15,1,0
FULTON,MAYFIELD,Basement,11,2.93,2.2,2.24,10.5,10,1,0
FULTON,MAYFIELD,1st Floor,5,0.98,0.82,2.03,1.8,5,0,0
NASSAU,HEMPSTEAD,Basement,388,1.22,0.86,2.36,8.3,377,11,0
FULTON,NORTHAMPTON,Basement,8,2.48,1.84,2.48,5.6,6,2,0
FULTON,NORTHAMPTON,1st Floor,4,1.85,1.4,2.6,3.2,4,0,0
FULTON,OPPENHEIM,Basement,6,3.85,2.49,3.1,7.8,3,3,0
FULTON,OPPENHEIM,1st Floor,2,0.15,0.14,1.63,0.2,2,0,0
FULTON,PERTH,Basement,4,1.15,1.07,1.59,1.6,4,0,0
FULTON,PERTH,1st Floor,1,0.8,0.8,1,0.8,1,0,0
FULTON,STRATFORD,1st Floor,2,0.4,0.26,3.96,0.7,2,0,0
GENESEE,ALABAMA,Basement,20,3.22,2.27,2.19,16,17,3,0
GENESEE,ALABAMA,1st Floor,3,0.57,0.52,1.6,0.9,3,0,0
GENESEE,ALEXANDER,Basement,41,5.02,3.51,2.38,27.7,22,18,1
GENESEE,ALEXANDER,1st Floor,11,5.03,1.91,4.32,29.9,7,3,1
GENESEE,BATAVIA,Basement,465,8.45,3.39,3.33,322.7,285,147,33
GENESEE,BATAVIA,1st Floor,171,4.27,1.32,4.3,63.1,138,25,8
GENESEE,BERGEN,Basement,45,9.13,4.3,3.03,122.6,18,24,3
GENESEE,BERGEN,1st Floor,21,3.28,0.98,4.22,38.5,18,2,1
GENESEE,BETHANY,Basement,33,8.25,4.03,2.71,95.2,21,9,3
GENESEE,BETHANY,1st Floor,8,4.46,2.66,3.08,15.3,5,3,0
GENESEE,BYRON,Basement,29,5.5,2.98,2.74,44.8,19,8,2
GENESEE,BYRON,1st Floor,12,1.78,1.56,1.75,3.1,12,0,0
GENESEE,DARIEN,Basement,55,10.46,3.13,3.39,187.9,37,14,4
GENESEE,DARIEN,1st Floor,19,10.61,1.51,4.29,170.4,15,3,1
GENESEE,ELBA,Basement,31,3.85,2.47,2.46,27.9,21,9,1
GENESEE,ELBA,1st Floor,8,2.58,1.53,3.4,6,6,2,0
GENESEE,LE ROY,Basement,104,6.22,3.25,2.98,47.6,66,30,8
GENESEE,LE ROY,1st Floor,43,3.94,1.54,2.99,69.6,38,3,2
GENESEE,OAKFIELD,Basement,55,4.1,2.8,2.33,21.8,40,14,1
GENESEE,OAKFIELD,1st Floor,12,1.99,0.84,4,8.1,10,2,0
GENESEE,PAVILION,Basement,36,7.61,3.38,2.94,111.1,24,11,1
GENESEE,PAVILION,1st Floor,17,5.22,1.04,4.5,67.4,15,1,1
GENESEE,PEMBROKE,Basement,86,6.28,2.54,3,136.1,64,19,3
GENESEE,PEMBROKE,1st Floor,33,2.18,0.98,3.02,32.2,31,1,1
GENESEE,STAFFORD,Basement,30,14.72,6.33,4.4,89.6,12,13,5
GENESEE,STAFFORD,1st Floor,7,9.74,6.63,3.68,13.6,1,6,0
GREENE,ASHLAND,Basement,18,6.33,3.38,3.33,31.4,10,7,1
GREENE,ASHLAND,1st Floor,3,3.5,2.86,2.22,6.4,2,1,0
GREENE,ATHENS,Basement,24,4.75,2.92,2.78,19.3,14,10,0
GREENE,ATHENS,1st Floor,39,0.63,0.31,2.94,7.6,38,1,0
GREENE,CAIRO,Basement,41,18.3,3.69,4.57,245.2,26,9,6
GREENE,CAIRO,1st Floor,29,12.28,2.99,4.3,205.4,18,9,2
GREENE,CATSKILL,Basement,102,6.23,3.34,3.31,51.3,60,36,6
GREENE,CATSKILL,1st Floor,53,4.16,1.45,3.97,72.4,42,9,2
GREENE,COXSACKIE,Basement,27,3.54,1.95,3.07,22.1,21,5,1
GREENE,COXSACKIE,1st Floor,116,0.49,0.36,2.18,3.6,116,0,0
GREENE,DURHAM,Basement,15,6.23,3.56,2.73,30,9,4,2
GREENE,DURHAM,1st Floor,9,8.26,3.13,5.08,33.6,6,2,1
GREENE,GREENVILLE,Basement,50,4.37,3.3,2.26,13.6,28,22,0
GREENE,GREENVILLE,1st Floor,128,1.05,0.76,2.42,6.7,127,1,0
GREENE,HALCOTT,Basement,4,5.35,1.92,8.43,14.7,2,2,0
GREENE,HALCOTT,1st Floor,1,2.2,2.2,1,2.2,1,0,0
GREENE,HUNTER,Basement,17,6.98,3.29,4.06,23.4,9,6,2
GREENE,HUNTER,1st Floor,6,2.47,2.03,2.06,4.3,5,1,0
GREENE,JEWETT,Basement,5,2.24,1.75,2.46,3.8,5,0,0
GREENE,JEWETT,1st Floor,5,1.06,0.66,3.51,2.3,5,0,0
GREENE,LEXINGTON,Basement,10,5.97,2.74,3.6,25.3,7,2,1
GREENE,LEXINGTON,1st Floor,9,3.44,1.73,4.52,9.4,7,2,0
GREENE,NEW BALTIMORE,Basement,37,6.58,2.89,3.47,86.3,23,13,1
GREENE,NEW BALTIMORE,1st Floor,16,3.7,1.37,4.32,26.4,12,3,1
GREENE,PRATTSVILLE,Basement,5,2.22,1.6,2.81,5,4,1,0
GREENE,PRATTSVILLE,1st Floor,4,1.13,0.87,2.35,2.4,4,0,0
GREENE,WINDHAM,Basement,23,3.81,1.95,4.3,12.8,13,10,0
GREENE,WINDHAM,1st Floor,11,1.51,1.02,3.31,3,11,0,0
HAMILTON,ARIETTA,Basement,2,2.35,1.45,4.5,4.2,1,1,0
HAMILTON,HOPE,Basement,4,4.15,1.74,4.95,12.7,3,1,0
HAMILTON,HOPE,1st Floor,1,0.4,0.4,1,0.4,1,0,0
HAMILTON,INDIAN LAKE,Basement,7,1,0.89,1.75,1.9,7,0,0
HAMILTON,INDIAN LAKE,1st Floor,1,0.3,0.3,1,0.3,1,0,0
HAMILTON,LAKE PLEASANT,Basement,3,0.93,0.72,2.45,1.8,3,0,0
HAMILTON,LAKE PLEASANT,1st Floor,1,0.7,0.7,1,0.7,1,0,0
HAMILTON,LONG LAKE,Basement,3,2.23,2.08,1.59,3.3,3,0,0
HAMILTON,LONG LAKE,1st Floor,1,0.2,0.2,1,0.2,1,0,0
HAMILTON,WELLS,Basement,4,2,0.96,4.48,5.5,3,1,0
HERKIMER,COLUMBIA,Basement,4,4.7,3.88,2.25,7.6,1,3,0
HERKIMER,COLUMBIA,1st Floor,2,0.6,0.59,1.27,0.7,2,0,0
HERKIMER,DANUBE,Basement,1,14.5,14.5,1,14.5,0,1,0
HERKIMER,FAIRFIELD,Basement,16,5.11,3.13,3.25,16.9,10,6,0
HERKIMER,FAIRFIELD,1st Floor,4,1.25,1.24,1.11,1.4,4,0,0
HERKIMER,FRANKFORT,Basement,46,8.14,4.39,3.03,58.6,23,20,3
HERKIMER,FRANKFORT,1st Floor,21,2.63,1.29,3.96,7.9,14,7,0
HERKIMER,GERMAN FLATTS,Basement,79,7.06,4.18,2.95,33.6,36,37,6
HERKIMER,GERMAN FLATTS,1st Floor,34,2.88,1.42,3.53,17.2,27,7,0
HERKIMER,HERKIMER,Basement,53,9.35,4.93,3.02,74.1,25,20,8
HERKIMER,HERKIMER,1st Floor,35,4.05,1.8,3.82,31.8,23,11,1
HERKIMER,LITCHFIELD,Basement,3,4.33,4.07,1.52,6.6,2,1,0
HERKIMER,LITCHFIELD,1st Floor,3,4.6,4.21,1.72,6.5,1,2,0
HERKIMER,LITTLE FALLS,Basement,40,4.17,2.68,2.87,21.2,26,13,1
HERKIMER,LITTLE FALLS,1st Floor,17,1.74,1.2,2.36,6.9,15,2,0
HERKIMER,MANHEIM,Basement,9,1.99,1.44,2.33,5.6,7,2,0
HERKIMER,MANHEIM,1st Floor,4,0.5,0.26,3.6,1.5,4,0,0
HERKIMER,NEWPORT,Basement,19,2.92,1.85,2.56,12.7,16,3,0
HERKIMER,NEWPORT,1st Floor,7,2.66,0.95,4.94,11.5,5,2,0
HERKIMER,OHIO,Basement,1,1.5,1.5,1,1.5,1,0,0
HERKIMER,OHIO,1st Floor,2,2.95,1.07,10.68,5.7,1,1,0
HERKIMER,RUSSIA,Basement,6,3.07,2.46,2.06,7.1,5,1,0
HERKIMER,RUSSIA,1st Floor,3,0.53,0.48,1.77,0.9,3,0,0
HERKIMER,SALISBURY,Basement,2,2.05,1.54,3.06,3.4,2,0,0
HERKIMER,SALISBURY,1st Floor,2,0.15,0.14,1.63,0.2,2,0,0
HERKIMER,SCHUYLER,Basement,12,4.23,3.38,2.09,8,6,6,0
HERKIMER,SCHUYLER,1st Floor,3,2,1.19,4.68,2.9,3,0,0
HERKIMER,STARK,Basement,3,1.67,1.52,1.67,2.7,3,0,0
HERKIMER,WARREN,1st Floor,6,1.78,1.39,2.38,3.9,6,0,0
HERKIMER,WEBB,Basement,10,4.23,2.76,2.66,13.9,7,3,0
HERKIMER,WEBB,1st Floor,2,1.35,1.23,1.84,1.9,2,0,0
HERKIMER,WINFIELD,Basement,19,8.97,5.44,2.96,44.2,6,11,2
HERKIMER,WINFIELD,1st Floor,23,4.83,2.46,4.05,20.1,13,9,1
JEFFERSON,ADAMS,Basement,43,9.06,3.39,4.04,85.7,24,15,4
JEFFERSON,ADAMS,1st Floor,15,7.51,3.01,4.24,35,8,5,2
JEFFERSON,ALEXANDRIA,Basement,31,6.15,4.05,2.61,25.7,16,14,1
JEFFERSON,ALEXANDRIA,1st Floor,15,2.87,1.89,3.04,8.2,12,3,0
JEFFERSON,ANTWERP,Basement,2,5,1.4,15.67,9.8,1,1,0
JEFFERSON,ANTWERP,1st Floor,2,0.6,0.57,1.63,0.8,2,0,0
JEFFERSON,BROWNVILLE,Basement,30,3.85,2.13,3.06,31.4,21,8,1
JEFFERSON,BROWNVILLE,1st Floor,17,1.09,0.74,2.69,3.1,17,0,0
JEFFERSON,CAPE VINCENT,Basement,8,2.51,1.46,3.3,7.1,6,2,0
JEFFERSON,CAPE VINCENT,1st Floor,6,1.3,1.09,1.91,2.6,6,0,0
JEFFERSON,CHAMPION,Basement,6,3.17,2.55,1.93,8.6,5,1,0
JEFFERSON,CHAMPION,1st Floor,2,0.8,0.77,1.44,1,2,0,0
JEFFERSON,CLAYTON,Basement,46,19.1,3.51,4.83,336.3,29,12,5
JEFFERSON,CLAYTON,1st Floor,15,10.35,1.77,5.56,122.2,11,3,1
JEFFERSON,ELLISBURG,Basement,13,17.65,8.27,3.78,82.2,5,5,3
JEFFERSON,ELLISBURG,1st Floor,9,4.56,1.53,5.42,22.3,5,3,1
JEFFERSON,HENDERSON,Basement,4,3.63,2.15,3.55,8.2,2,2,0
JEFFERSON,HOUNSFIELD,Basement,7,1.99,1.34,2.5,5.8,6,1,0
JEFFERSON,HOUNSFIELD,1st Floor,4,1.1,0.85,2.38,1.9,4,0,0
JEFFERSON,LE RAY,Basement,21,7.49,2.98,3.88,44.2,12,7,2
JEFFERSON,LE RAY,1st Floor,13,2.12,0.97,3.18,15,12,1,0
JEFFERSON,LORRAINE,Basement,2,5.15,2.59,6.37,9.6,1,1,0
JEFFERSON,LYME,Basement,8,1.88,1.42,2.06,6.5,7,1,0
JEFFERSON,LYME,1st Floor,5,0.34,0.24,2.51,0.9,5,0,0
JEFFERSON,ORLEANS,Basement,19,6.09,3,3.3,33,12,5,2
JEFFERSON,ORLEANS,1st Floor,17,1.04,0.56,3.31,5,16,1,0
JEFFERSON,PAMELIA,Basement,3,10.1,1.96,12.3,28.8,2,0,1
JEFFERSON,PAMELIA,1st Floor,1,0.1,0.1,1,0.1,1,0,0
JEFFERSON,PHILADELPHIA,Basement,2,2.5,2.07,2.45,3.9,2,0,0
JEFFERSON,PHILADELPHIA,1st Floor,1,0.6,0.6,1,0.6,1,0,0
JEFFERSON,RODMAN,Basement,8,10.1,5.51,4.76,22,2,4,2
JEFFERSON,RODMAN,1st Floor,2,2.35,1.92,2.52,3.7,2,0,0
JEFFERSON,RUTLAND,Basement,3,2.47,1.95,2.5,4.1,2,1,0
JEFFERSON,RUTLAND,1st Floor,3,1.47,1.42,1.36,1.8,3,0,0
JEFFERSON,THERESA,Basement,4,3.18,3.04,1.4,4.7,3,1,0
JEFFERSON,THERESA,1st Floor,7,0.74,0.48,2.88,2.1,7,0,0
JEFFERSON,WATERTOWN,Basement,168,2.78,1.37,2.94,99,144,22,2
JEFFERSON,WATERTOWN,1st Floor,66,0.93,0.61,2.48,8.3,64,2,0
JEFFERSON,WILNA,Basement,18,2.19,1.25,3.09,10.7,15,3,0
JEFFERSON,WILNA,1st Floor,4,0.33,0.28,2.04,0.5,4,0,0
LEWIS,CROGHAN,Basement,10,4.6,2.25,3,26.4,7,2,1
LEWIS,CROGHAN,1st Floor,1,1.1,1.1,1,1.1,1,0,0
LEWIS,DENMARK,Basement,6,46.45,10.05,10.55,160.9,3,0,3
LEWIS,DENMARK,1st Floor,2,1,0.6,4.73,1.8,2,0,0
LEWIS,DIANA,Basement,14,1.89,1.62,1.81,4.5,13,1,0
LEWIS,DIANA,1st Floor,10,1.43,0.62,4.03,7,9,1,0
LEWIS,GREIG,Basement,8,5.2,3.12,2.8,17.6,6,2,0
LEWIS,GREIG,1st Floor,3,6.03,5.94,1.25,7,0,3,0
LEWIS,HARRISBURG,Basement,3,5.57,4.22,2.4,11.6,2,1,0
LEWIS,HARRISBURG,1st Floor,2,4.9,4.83,1.26,5.7,0,2,0
LEWIS,LEWIS,Basement,3,1.13,0.88,2.61,1.9,3,0,0
LEWIS,LEWIS,1st Floor,1,0.3,0.3,1,0.3,1,0,0
LEWIS,LEYDEN,Basement,20,3.41,2.05,2.67,17.1,15,5,0
LEWIS,LEYDEN,1st Floor,9,3.02,1.38,3.5,10.8,7,2,0
LEWIS,LOWVILLE,Basement,26,3.39,2.43,2.72,8.2,16,10,0
LEWIS,LOWVILLE,1st Floor,17,1.72,1.04,3.01,6.2,15,2,0
LEWIS,LYONSDALE,Basement,8,6.28,3.33,3.25,20.4,6,1,1
LEWIS,MARTINSBURG,Basement,4,4.63,4.35,1.51,6.5,2,2,0
LEWIS,MARTINSBURG,1st Floor,1,4.1,4.1,1,4.1,0,1,0
LEWIS,NEW BREMEN,Basement,2,1.55,1.14,3.21,2.6,2,0,0
LEWIS,NEW BREMEN,1st Floor,3,1.57,1.45,1.67,2,3,0,0
LEWIS,TURIN,Basement,7,19.23,4.34,6.55,107.6,4,2,1
LEWIS,TURIN,1st Floor,1,1.4,1.4,1,1.4,1,0,0
LEWIS,W. TURIN,Basement,5,7.28,4.93,2.76,16.2,2,3,0
LEWIS,W. TURIN,1st Floor,2,3,2.99,1.1,3.2,2,0,0
LEWIS,WATSON,Basement,5,3,2.29,2.56,5.6,3,2,0
LEWIS,WATSON,1st Floor,4,5.4,4.31,2.26,9.1,2,2,0
LIVINGSTON,AVON,Basement,116,2.95,2.21,2.28,16.1,87,29,0
LIVINGSTON,AVON,1st Floor,138,1.36,0.92,2.55,9.3,131,7,0
LIVINGSTON,CALEDONIA,Basement,117,28.19,11.38,5.06,157.6,28,40,49
LIVINGSTON,CALEDONIA,1st Floor,237,14.12,7.21,3.59,196.8,74,116,47
LIVINGSTON,CONESUS,Basement,28,4.83,3.1,2.68,20.9,17,10,1
LIVINGSTON,CONESUS,1st Floor,31,1.77,1.13,2.8,7.5,27,4,0
LIVINGSTON,GENESEO,Basement,161,3.15,2.42,2.23,13.9,117,44,0
LIVINGSTON,GENESEO,1st Floor,151,1.83,1.23,2.54,9.3,138,13,0
LIVINGSTON,GROVELAND,Basement,27,5.57,3.97,2.77,20.6,13,13,1
LIVINGSTON,GROVELAND,1st Floor,19,2.06,1,2.75,17.3,17,2,0
LIVINGSTON,LEICESTER,Basement,33,4.08,2.46,3.29,17.8,20,13,0
LIVINGSTON,LEICESTER,1st Floor,66,1.78,1.2,2.46,9.5,58,8,0
LIVINGSTON,LIMA,Basement,109,5.05,3.3,2.43,38,63,42,4
LIVINGSTON,LIMA,1st Floor,67,2.56,1.79,2.51,10.7,50,17,0
LIVINGSTON,LIVONIA,Basement,96,3.66,2.38,2.72,34,72,23,1
LIVINGSTON,LIVONIA,1st Floor,96,2.61,1.29,3.16,26.4,81,13,2
LIVINGSTON,MT. MORRIS,Basement,66,5.8,2.69,3.13,77.5,43,20,3
LIVINGSTON,MT. MORRIS,1st Floor,166,1.91,1.09,2.79,22,147,18,1
LIVINGSTON,NO. DANSVILLE,Basement,114,7.99,5.05,2.82,43.7,40,61,13
LIVINGSTON,NO. DANSVILLE,1st Floor,158,3.68,2.15,3.09,27.3,102,55,1
LIVINGSTON,NUNDA,Basement,56,14.51,5.33,3.82,122,23,22,11
LIVINGSTON,NUNDA,1st Floor,97,5.89,2.85,3.35,61.8,61,31,5
LIVINGSTON,OSSIAN,Basement,8,5.66,4.38,2.24,12.3,3,5,0
LIVINGSTON,OSSIAN,1st Floor,9,8.82,2.99,4.39,46.2,6,2,1
LIVINGSTON,PORTAGE,Basement,10,3.84,2.72,2.96,9.4,5,5,0
LIVINGSTON,PORTAGE,1st Floor,15,1.89,1.44,2.25,4.1,13,2,0
LIVINGSTON,SPARTA,Basement,18,4.93,3.25,2.75,19.2,9,9,0
LIVINGSTON,SPARTA,1st Floor,25,3.66,1.75,3.57,29.9,17,7,1
LIVINGSTON,SPRINGWATER,Basement,23,8.93,3.88,3.3,85.4,13,8,2
LIVINGSTON,SPRINGWATER,1st Floor,31,5.52,2.15,3.35,81.2,24,6,1
LIVINGSTON,W. SPARTA,Basement,8,2.26,1.85,2.02,4.5,6,2,0
LIVINGSTON,W. SPARTA,1st Floor,2,2.45,2.36,1.47,3.1,2,0,0
LIVINGSTON,YORK,Basement,32,4.83,3.14,2.57,31.1,21,10,1
LIVINGSTON,YORK,1st Floor,43,1.02,0.76,2.36,2.8,43,0,0
MADISON,BROOKFIELD,Basement,37,8.1,5.18,2.67,41.9,16,20,1
MADISON,BROOKFIELD,1st Floor,12,1.81,1.2,2.56,7.1,10,2,0
MADISON,CAZENOVIA,Basement,251,4.85,3.03,2.55,107.8,157,90,4
MADISON,CAZENOVIA,1st Floor,99,3.5,1.85,2.7,79,80,18,1
MADISON,DERUYTER,Basement,28,7.63,3.35,4.23,40.7,15,10,3
MADISON,DERUYTER,1st Floor,16,3.39,1.66,3.41,20.7,11,4,1
MADISON,EATON,Basement,67,8.34,4.36,3.08,81.8,33,27,7
MADISON,EATON,1st Floor,40,1.97,1.22,2.66,11.2,36,4,0
MADISON,FENNER,Basement,11,3.8,3.42,1.66,6.7,7,4,0
MADISON,FENNER,1st Floor,1,1.6,1.6,1,1.6,1,0,0
MADISON,GEORGETOWN,Basement,17,6.16,4.26,2.54,18.3,7,10,0
MADISON,GEORGETOWN,1st Floor,24,3.05,1.58,3.29,13.3,18,6,0
MADISON,HAMILTON,Basement,185,8.02,5.04,2.69,47.8,72,96,17
MADISON,HAMILTON,1st Floor,88,3.62,2.03,3.25,20.8,65,22,1
MADISON,LEBANON,Basement,13,3.38,2.44,2.41,9.2,8,5,0
MADISON,LEBANON,1st Floor,5,2.62,0.97,4.06,10.8,4,1,0
MADISON,LENOX,Basement,193,4.14,2.35,2.95,43,132,55,6
MADISON,LENOX,1st Floor,82,1.92,0.99,3.02,33.4,74,7,1
MADISON,LINCOLN,Basement,8,4.91,3.46,2.51,15.7,4,4,0
MADISON,LINCOLN,1st Floor,2,1.7,1.5,2.06,2.5,2,0,0
MADISON,MADISON,Basement,28,3.88,2.78,2.37,20,19,8,1
MADISON,MADISON,1st Floor,14,2.26,1.56,2.87,6.8,12,2,0
MADISON,NELSON,Basement,21,5.64,3.22,3.14,26.4,12,8,1
MADISON,NELSON,1st Floor,4,6.3,3.01,4.4,18.8,3,1,0
MADISON,ONEIDA,Basement,196,6.25,2.41,3.25,203.6,138,51,7
MADISON,ONEIDA,1st Floor,85,1.63,0.88,3.1,11.6,78,7,0
MADISON,SMITHFIELD,Basement,7,5.76,4.54,2,16,4,3,0
MADISON,SMITHFIELD,1st Floor,5,0.5,0.39,2.4,1,5,0,0
MADISON,STOCKBRIDGE,Basement,18,3.8,2.54,2.83,9.5,12,6,0
MADISON,STOCKBRIDGE,1st Floor,14,1.63,0.72,3.95,7,12,2,0
MADISON,SULLIVAN,Basement,196,7.38,3.31,3.44,74.9,115,62,19
MADISON,SULLIVAN,1st Floor,52,2.58,1.16,3.52,19.6,44,8,0
MONROE,BRIGHTON,Basement,107,2.38,1.65,2.32,22.7,87,19,1
MONROE,BRIGHTON,1st Floor,437,0.61,0.32,3.19,4.8,436,1,0
MONROE,CHILI,Basement,66,2.29,1.38,2.73,20.3,57,8,1
MONROE,CHILI,1st Floor,13,1.84,1.24,2.94,4.3,11,2,0
MONROE,CLARKSON,Basement,17,2.16,1.6,2.31,6.4,15,2,0
MONROE,CLARKSON,1st Floor,3,0.37,0.36,1.18,0.4,3,0,0
MONROE,E. ROCHESTER,Basement,10,1.57,1.29,1.95,3.6,10,0,0
MONROE,E. ROCHESTER,1st Floor,192,0.34,0.26,2.13,1.2,192,0,0
MONROE,GATES,Basement,40,2.29,1.67,2.14,11.3,35,5,0
MONROE,GATES,1st Floor,5,0.52,0.46,1.78,1,5,0,0
MONROE,GREECE,Basement,157,1.79,1.25,2.32,21.4,149,7,1
MONROE,GREECE,1st Floor,16,1.18,0.81,2.67,3.1,16,0,0
MONROE,HAMLIN,Basement,19,1.13,0.99,1.8,1.8,19,0,0
MONROE,HAMLIN,1st Floor,3,0.5,0.36,3.09,0.8,3,0,0
MONROE,HENRIETTA,Basement,107,2.69,1.91,2.26,16.1,84,23,0
MONROE,HENRIETTA,1st Floor,26,1.5,1.13,2.23,5.5,25,1,0
MONROE,IRONDEQUOIT,Basement,92,1.78,1.31,2.34,8.3,85,7,0
MONROE,IRONDEQUOIT,1st Floor,8,1.01,0.81,2.16,2.1,8,0,0
MONROE,MENDON,Basement,239,13.02,3.61,4.07,405.6,143,66,30
MONROE,MENDON,1st Floor,66,10.03,1.79,5.16,259.5,48,13,5
MONROE,OGDEN,Basement,124,3.34,2.23,2.36,28.1,94,29,1
MONROE,OGDEN,1st Floor,20,3.17,1.28,3.12,31.1,17,2,1
MONROE,PARMA,Basement,59,2.24,1.62,2.04,20.8,52,6,1
MONROE,PARMA,1st Floor,12,1.06,0.79,2.14,3.7,12,0,0
MONROE,PENFIELD,Basement,331,3.04,1.86,2.62,58.1,270,58,3
MONROE,PENFIELD,1st Floor,186,1.14,0.59,3.01,13.1,176,10,0
MONROE,PERINTON,Basement,281,3.1,1.73,2.83,35,235,40,6
MONROE,PERINTON,1st Floor,"1,143",0.57,0.35,2.53,21.5,"1,133",9,1
MONROE,PITTSFORD,Basement,236,2.37,1.7,2.25,21.6,207,28,1
MONROE,PITTSFORD,1st Floor,43,1.45,0.94,2.46,14.9,42,1,0
MONROE,RIGA,Basement,54,5.77,3.17,2.58,62.7,34,17,3
MONROE,RIGA,1st Floor,14,2.31,1.28,3.12,9.6,12,2,0
MONROE,ROCHESTER,Basement,878,2,1.4,2.35,18.3,789,89,0
MONROE,ROCHESTER,1st Floor,"1,989",0.63,0.43,2.48,6.9,"1,984",5,0
MONROE,RUSH,Basement,66,6.37,3.09,2.94,58.4,47,15,4
MONROE,RUSH,1st Floor,13,2.75,1.05,5.22,12.7,10,3,0
MONROE,SWEDEN,Basement,22,6.34,2.83,3.11,52.2,16,4,2
MONROE,SWEDEN,1st Floor,12,4.61,1.42,4.47,33.9,10,1,1
MONROE,WEBSTER,Basement,195,1.83,1.34,2.37,10,179,16,0
MONROE,WEBSTER,1st Floor,600,0.53,0.36,2.44,9.4,597,3,0
MONROE,WHEATLAND,Basement,72,11.06,4.6,3.74,75.8,37,21,14
MONROE,WHEATLAND,1st Floor,27,4.29,2.29,2.88,29.4,20,6,1
MONTGOMERY,AMSTERDAM,Basement,118,3.29,1.64,3.32,44,89,28,1
MONTGOMERY,AMSTERDAM,1st Floor,24,1.39,0.73,3.19,7.4,22,2,0
MONTGOMERY,CANAJOHARIE,Basement,48,3.11,2.39,2.28,8.2,33,15,0
MONTGOMERY,CANAJOHARIE,1st Floor,105,0.95,0.57,2.55,14.9,103,2,0
MONTGOMERY,CHARLESTON,Basement,2,2.5,0.7,15.67,4.9,1,1,0
MONTGOMERY,CHARLESTON,1st Floor,2,1.1,0.46,8.61,2.1,2,0,0
MONTGOMERY,FLORIDA,Basement,12,8.13,5.6,2.5,24.1,5,6,1
MONTGOMERY,FLORIDA,1st Floor,4,4.1,2.72,3.68,7.4,1,3,0
MONTGOMERY,GLEN,Basement,14,4.36,2.28,3.41,14.2,9,5,0
MONTGOMERY,GLEN,1st Floor,5,4.34,3.52,2.17,8.7,3,2,0
MONTGOMERY,MINDEN,Basement,7,6.9,2.97,4.76,20.9,4,2,1
MONTGOMERY,MOHAWK,Basement,23,3.98,2.38,2.79,20.6,16,6,1
MONTGOMERY,MOHAWK,1st Floor,170,0.36,0.27,2.05,2.6,170,0,0
MONTGOMERY,PALATINE,Basement,21,5.28,4.57,1.69,16.3,10,11,0
MONTGOMERY,PALATINE,1st Floor,8,1.33,1.14,1.86,2.4,8,0,0
MONTGOMERY,ROOT,Basement,9,7.21,3.94,3.23,28.5,5,3,1
MONTGOMERY,ROOT,1st Floor,3,6.9,2.16,7.92,18.6,2,1,0
MONTGOMERY,ST. JOHNSVILLE,Basement,7,4.67,3.25,2.72,9.5,3,4,0
MONTGOMERY,ST. JOHNSVILLE,1st Floor,5,5.36,4.89,1.62,9.6,1,4,0
NASSAU,GLEN COVE,Basement,7,2.59,2.24,1.82,5.5,6,1,0
NASSAU,GLEN COVE,1st Floor,5,0.82,0.6,2.89,1.4,5,0,0
NASSAU,HEMPSTEAD,1st Floor,124,0.62,0.4,2.56,4,123,1,0
NASSAU,LONG BEACH (CITY DESIGNATION),Basement,3,0.2,0.16,2.23,0.4,3,0,0
NASSAU,LONG BEACH (CITY DESIGNATION),1st Floor,4,0.45,0.29,2.85,1.2,4,0,0
NASSAU,N. HEMPSTEAD,Basement,188,1.64,1.21,2.21,7.5,172,16,0
NASSAU,N. HEMPSTEAD,1st Floor,48,0.88,0.63,2.47,3,48,0,0
NASSAU,OYSTER BAY,Basement,223,1.8,1.19,2.47,13.9,204,19,0
NASSAU,OYSTER BAY,1st Floor,64,0.91,0.47,2.97,12.6,62,2,0
NEW YORK,NYC (BRONX),Basement,99,1.75,0.84,3.23,20.9,91,7,1
NEW YORK,NYC (BRONX),1st Floor,43,1.13,0.42,3.49,15.9,41,2,0
NEW YORK,NYC (KINGS),Basement,505,2.08,1.23,2.8,41.2,452,49,4
NEW YORK,NYC (KINGS),1st Floor,112,0.86,0.49,2.95,7.8,109,3,0
NEW YORK,NYC (NEW YORK),Basement,131,2.17,0.99,3.36,49.5,115,15,1
NEW YORK,NYC (NEW YORK),1st Floor,67,2.7,0.31,3.53,146.7,65,1,1
NEW YORK,NYC (QUEENS),Basement,577,1.24,0.79,2.51,23.8,556,20,1
NEW YORK,NYC (QUEENS),1st Floor,115,0.63,0.39,2.61,7.3,114,1,0
NEW YORK,NYC (RICHMOND),Basement,243,1.4,0.76,3.02,14.1,227,16,0
NEW YORK,NYC (RICHMOND),1st Floor,64,1.19,0.44,3.44,22.4,60,3,1
